,0
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,0
90,1
91,0
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,1
116,1
117,0
118,1
119,0
120,0
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,1
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,0
139,1
140,1
141,0
142,0
143,1
144,0
145,0
146,1
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,0
239,0
240,0
